router,id,name
port,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,f99da923-7072-422f-99b7-1400a4062b19,9f00b992-259f-4628-a8ea-cb7aa2519454
port,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,fba4ad58-2984-4b44-b9cd-cddd938b14ae,b29b3971-c5e7-4b4c-a613-4c113a853bcc
network,id,name
network,00c5e795-76af-4b51-81bf-3f82bdef977a,net1-4
network,16ff45c5-adf5-455a-83f6-9ad059cab1e9,net2-11
network,19926188-6b88-45d1-bf39-a935d45bf7ea,net1-11
network,223245ed-3c8f-4671-98a6-2a62afc18e7b,net1-5
network,2e99a08b-4e07-4df6-8b70-b331b5303466,net1-6
network,4973bcf7-059d-4230-b1d5-4248856490c4,public
network,4f433483-94a8-4822-87be-80e1a0d6b9f4,net1-2
network,579833fd-cdb9-4824-9977-13febc90f75a,net2-2
network,586bc052-1db7-4a46-b8a8-b078beb561df,net2-7
network,5afca92c-7a49-439f-b1d8-a1edafa2cd0a,net1-1
network,606da718-1005-4b6b-94cd-a0a06feb3366,net2-10
network,6e88db90-559e-47c2-acc1-58f6d812293e,net2-4
network,78dab036-edcb-4c44-b1bc-1048cbb55e04,net2-3
network,80d80a8a-340e-4f39-b6bd-0e4b82cea356,net2-12
network,8e5463c6-ea19-4aa8-b19c-eef9026c03a8,net1-8
network,9f00b992-259f-4628-a8ea-cb7aa2519454,net2-0
network,a2fdab66-bfd6-416f-a196-48544367afa3,net1-0
network,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4,net2-1
network,abcadea6-9b0f-47a3-b7ea-e3599e34b435,default
network,b0e00d75-ebdf-47b8-84e2-fa370a94fc9c,net1-12
network,b29b3971-c5e7-4b4c-a613-4c113a853bcc,net1-9
network,b851fcaa-0639-48be-a6e6-8365a7ab0959,net2-9
network,c3b551be-20fb-49e4-b311-e28da147f667,net2-5
network,cc71af67-3312-4b0e-a74a-6389dcd97521,net1-3
network,d39e752b-afc3-4a02-a991-6943a8c57284,net1-10
network,e9603ca9-7112-4595-b8bb-ac60d98c4a08,net1-7
network,ef2d4ec3-1861-424d-a010-088b6b96f955,net2-8
network,f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957,net2-6
